Data shown is as of Mar 6, 2022.
                                                                                     Monthly % of normal     Observed monthly                 Average Monthly
                                                                                     precipitation for       total precipitation              total precipitation
                                                                             Elev    Mar 2022
StnID  Station Name                                    State  Lat     Lon    (ft)           (%)                      (in.)                              (in.)
CDLC1  RUSSIAN - CLOVERDALE, NR                         CA   38.88  123.05    350            21                       0.22                              1.04
CDRC1  CEDAR PASS                                       CA   41.58  120.30   7030            82                       0.70                              0.86
CEC    CRESCENT CITY                                    CA   41.78  124.24     56            75                       1.14                              1.52
CESC1  CHESTER (CDF)                                    CA   40.28  121.23   4525            48                       0.40                              0.83
CFCC1  SCORPION RAWS                                    CA   41.11  122.70   4400            10                       0.16                              1.54
CFRC1  COFFEE RIDGE                                     CA   41.08  122.72   3040            10                       0.13                              1.26
CGVC1  CEDAR GROVE (NPS)                                CA   36.79  118.66   4720            36                       0.40                              1.11
CHWC1  CHEWS RIDGE                                      CA   36.31  121.57   5040            50                       0.48                              0.95
CICC1  CHICO (CDF)                                      CA   39.71  121.78    237            17                       0.14                              0.83
CLCC1  CLEAR CREEK                                      CA   40.64  122.73   3300             3                       0.04                              1.38
CLFO3  CALIMUS OR - RAWS                                OR   42.63  121.56   6629             4                       0.03                              0.80
CLNC1  CALLAHAN                                         CA   41.30  122.82   3911           109                       0.40                              0.37
CNFC1  CRANE FLAT LOOKOUT (NPS)                         CA   37.76  119.82   6634            57                       0.64                              1.13
CNIC1  CAMP 9 (CDF)                                     CA   34.35  118.42   4000            51                       0.34                              0.67
CNO    CHINO(ASOS)                                      CA   33.98  117.64    650            24                       0.10                              0.42
CNYC1  CANBY (CDF)                                      CA   41.45  120.87   4315           129                       0.43                              0.33
COCC1  COACHELLA CANAL                                  CA   33.26  115.45    100             0                       0.00                              0.07
CODC1  COW RIDGE                                        CA   37.26  121.65   2998            20                       0.13                              0.63
COEC1  MORGAN HILL 6NE COE PARK                         CA   37.18  121.54   2739            13                       0.09                              0.70
COIN2  COILS CREEK (BLM)                                NV   39.83  116.50   6800             9                       0.03                              0.33
COLN2  CORRAL CANYON                                    NV   40.28  115.53   8500           103                       0.65                              0.63
COUC1  MERCED RIVER (BLM)                               CA   37.65  120.08   2600            47                       0.42                              0.90
COWC1  LYONS VLY/COW MTN (BLM)                          CA   39.13  123.07   3355            11                       0.17                              1.54
COYC1  COYOTE CK - COYOTE RES                           CA   37.09  121.54    802             4                       0.03                              0.79
CPLC1  CAPLES LAKE                                      CA   38.71  120.04   7980            49                       0.51                              1.04
CQFO3  CHILOQUIN OR - RAWS                              OR   42.58  121.89   4420            11                       0.04                              0.37
CQT    LOS ANGELES DOWNTOWN/USC                         CA   34.02  118.29    185            17                       0.08                              0.47
CRGC1  CORNING (CDF)                                    CA   39.94  122.17    289            57                       0.32                              0.56
CRLO3  CRATER LAKE OR (CO-OP)                           OR   42.90  122.13   6475            21                       0.31                              1.46
CRSN2  CRANE SPRINGS (BLM)                              NV   40.46  115.85   6400           134                       0.45                              0.34
CRXC1  CIRCLE X RANCH                                   CA   34.11  118.94   1700             0                       0.00                              0.68
CRZC1  CRAZY PEAK (USFS)                                CA   41.98  123.61   3970            22                       0.42                              1.89
CSMC1  CASTLE MOUNTAIN                                  CA   35.94  120.33   4000            29                       0.11                              0.39
CSTC1  COHASSET (CDF)                                   CA   39.87  121.77   1733             5                       0.09                              1.71
CTNC1  COTTONWOOD CREEK                                 CA   40.32  122.88   3400             4                       0.04                              0.98
CVSC1  CALAVERAS                                        CA   38.20  120.37   3360             4                       0.05                              1.34
CYAC1  CUYAMA FIRE STATION                              CA   34.93  119.61   2275            33                       0.11                              0.34
DAG    DAGGETT - ASOS                                   CA   34.85  116.79   1922             0                       0.00                              0.10
DBLC1  DIABLO GRANDE                                    CA   37.33  121.30   1861             3                       0.01                              0.39
DCFC1  DRY CREEK FIRE STATION                           CA   38.41  122.47    555             7                       0.08                              1.19
DDMC1  DEADMAN CREEK                                    CA   38.33  119.65   9250             3                       0.04                              1.18
DDWC1  DIDDY WELLS                                      CA   40.70  122.09   1300             0                       0.00                              1.24
DESC1  DE SABLA                                         CA   39.87  121.61   2710            10                       0.18                              1.86
DKFC1  DEER CREEK FOREBAY                               CA   39.30  120.83   4455            16                       0.31                              1.96
DNPC1  BALCH P H (PGE)                                  CA   36.91  119.09   1720            87                       0.81                              0.93
DNRC1  DONNER CK - DONNER LK DAM                        CA   39.33  120.28   5924            27                       0.32                              1.18
DPHC1  DRUM POWER HOUSE(PGE)                            CA   39.26  120.77   3400            18                       0.35                              1.95
DRA    DESERT ROCK ASOS                                 NV   36.62  116.02   3301             0                       0.00                              0.13
DRBN2  DORSEY BASIN                                     NV   40.89  115.20   8100            74                       0.49                              0.66
DRCN2  DRAW CREEK                                       NV   41.66  115.32   7200            41                       0.19                              0.46
DSNC1  DRY CK - SNELLING, NR                            CA   37.55  120.46    230            10                       0.04                              0.41
DVOC1  DEVORE WATER COMPANY                             CA   34.22  117.40   2080            27                       0.30                              1.09
DVRC1  DAVIS RANCH                                      CA   40.35  122.45    550             0                       0.00                              0.59
DVSC1  LAKE DAVIS - PORTOLA, NR                         CA   39.88  120.48   5768            13                       0.10                              0.79
DYCN2  DRY CREEK                                        NV   39.45  119.80   4760             6                       0.01                              0.17
EBTC1  EBBETTS PASS SNOTEL                              CA   38.55  119.80   8765            18                       0.27                              1.52
ECKC1  ALDER SPRINGS (CDF)                              CA   39.65  122.72   4465            34                       0.30                              0.89
EELC1  COVELO, TB                                       CA   39.83  123.08   1500             3                       0.03                              1.17
EGCC1  EAGLE CREEK (COE)                                CA   35.98  118.63   6700            96                       1.18                              1.22
EKO    ELKO - ASOS                                      NV   40.83  115.79   5030            83                       0.16                              0.19
ELKC1  ELK VALLEY                                       CA   41.99  123.72   1708            21                       0.35                              1.69
ELPC1  SAN DIEGO-EL CAPITAN DAM                         CA   32.88  116.81    800           148                       0.83                              0.56
ELY    ELY                                              NV   39.30  114.85   6262           228                       0.41                              0.18
EPRC1  LITTLE STONY CK - EAST PARK RES                  CA   39.36  122.52   1200            63                       0.36                              0.57
ESPC1  ESPERANZA (CDF)                                  CA   38.24  120.51   2559             5                       0.06                              1.13
